,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Physical exposure to earthquake MMI VI (absolute),Physical exposure to earthquake MMI VIII (absolute),Physical exposure to earthquake (absolute),Annual Expected Exposed People to River Floods,Annual Expected Exposed People to Tsunamis,Annual Expected Exposed People to Cyclone's Wind SS1,Annual Expected Exposed People to Cyclone's Wind SS3,Annual Expected Exposed People to Cyclone's Wind (absolute),Physical exposure to coastal flood (absolute),People affected by droughts (absolute),Physical exposure to earthquake MMI VI (relative),Physical exposure to earthquake MMI VIII (relative),Physical exposure to river flood (relative),Physical exposure to tsunami (relative),Physical exposure to tropical cyclone of Saffir-Simpson category 1 (relative),Physical exposure to tropical cyclone of Saffir-Simpson category 3 (relative),Physical exposure to coastal flood (relative),People affected by droughts (relative),Physical exposure to earthquake MMI VI (relative),Physical exposure to earthquake MMI VIII (relative),Physical exposure to earthquake (relative),Physical exposure to river flood (relative),Physical exposure to tsunami (relative),Physical exposure to tropical cyclone of Saffir-Simpson category 1 (relative),Physical exposure to tropical cyclone of Saffir-Simpson category 3 (relative),Physical exposure to tropical cyclone wind (relative),Physical exposure to coastal flood (relative),People affected by droughts (relative),Frequency of Drought events,Physical exposure to earthquake MMI VI,Physical exposure to earthquake MMI VIII,Physical exposure to tropical cyclone of Saffir-Simpson category 1,Physical exposure to tropical cyclone of Saffir-Simpson category 3,Physical exposure to tropical cyclone wind,People affected by droughts,Physical exposure to earthquake ,Physical exposure to river flood,Physical exposure to tsunami,Physical exposure to tropical cyclone,Physical exposure to coastal flood,People affected by droughts and Frequency of events,Agriculture Droughts probability,Droughts probability and historical impact,Population exposed to CCHF (absolute),Population exposed to CCHF (relative,Population exposed to CCHF (relative),Physical exposure to CCHF,Population exposed to EDV (absolute),Population exposed to EDV (relative),Population exposed to EDV (relative),Physical exposure to EDV,Population exposed to Lassa Fever (absolute),Population exposed to Lassa Fever (relative),Population exposed to Lassa Fever (relative),Physical exposure to Lassa Fever,Population exposed to MVD (absolute),Population exposed to MVD (relative),Population exposed to MVD (relative),Physical exposure to MVD,Physical exposure to zoonones,Populations at risk of malaria (absolute),Populations at risk of malaria (relative),Populations at risk of malaria (relative),Populations at risk of malaria,Population exposed to Zika (absolute),Population exposed to Zika (relative),Population exposed to Zika (relative),Population exposed to Zika,Population at Risk to Aedes (absolute),Population at Risk to Aedes (relative),Population at Risk to Aedes (relative),Population at Risk to Aedes,Population exposed to Dengue (absolute),Population exposed to Dengue (relative),Population exposed to Dengue (relative),Population exposed to Dengue,Physical exposure to vectorborne,Sanitation,Drinking water,Hygiene,WaSH,Population density,Urban population growth,Population living in urban areas,Household size,Population,P2P,Population living in slums (% of urban population),Children under 5,Population,People practicing open defecation,WaSH,Number of vets per capita,Number of vets,IHR capacity score: Food safety,Food,Waterborne - Foodborne,Physical exposure to epidemics,INFORM Natural Hazard,Projected Conflict Probability,Current Conflict Intensity,INFORM Human Hazard,,
Malta,MLT,0.1,0.1,0.1,0.0,3.8,0.0,0.0,0.0,0.1,0.0,0.00%,0.00%,0.0000%,0.00%,0.00%,0.00%,0.00%,0.00%,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,1.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,5.9,0.0,0.7,0.0,x,0.0,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,6.6,78.93%,7.9,7.3,4.3,1.89%,0.2,2.5,3.1,0.0,0.0,x,0.0,10.0,8.3,9.5,2.1,7.5,5.0,0.0,0.0,5.0,0.0,0.0,0.01%,9.2,2.0,5.6,3.5,3.1,1.7,0.0,0.0,0.0,,
Marshall Islands,MHL,0.1,0.1,0.1,0.0,2.6,1.8,3.7,2.8,5.1,4.9,0.00%,0.00%,0.0000%,0.00%,0.76%,0.06%,7.76%,2.15%,0.0,0.0,0.0,0.0,8.9,0.8,0.3,0.6,10.0,7.2,2.9,0.1,0.1,1.3,2.0,1.7,6.2,0.1,0.0,6.8,1.8,8.5,4.6,x,4.6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,3.2,3.89%,0.4,1.9,3.1,3.63%,0.4,1.8,1.0,2.1,2.5,1.5,2.0,7.9,2.9,7.9,x,6.2,4.8,0.3,3.8,4.6,2.9,2.3,0.00%,9.8,6.0,7.9,4.9,3.8,4.4,0.0,0.0,0.0,,
Mauritania,MRT,1.0,0.1,0.6,5.4,0.7,0.0,0.0,0.0,4.6,10.0,0.00%,0.00%,0.6656%,0.00%,0.00%,0.00%,0.04%,4.96%,0.1,0.0,0.1,6.8,1.4,0.0,0.0,0.0,4.1,10.0,7.6,0.6,0.1,0.0,0.0,0.0,10.0,0.4,6.1,1.1,0.0,4.4,8.8,9.2,9.0,7.7,49.83%,5.5,6.7,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,2.3,8.1,100.0%,10.0,9.3,7.3,24.83%,2.8,5.5,8.1,92.96%,9.3,8.8,7.8,54.53%,5.5,6.8,7.9,4.9,3.7,5.8,4.8,2.2,8.0,5.8,9.4,6.4,5.9,6.5,7.2,6.5,9.0,5.9,0.00%,9.6,8.0,8.8,7.1,6.2,4.8,0.7,2.2,1.5,,
Mauritius,MUS,0.1,0.1,0.1,0.0,3.1,7.7,7.5,7.6,0.0,0.0,0.00%,0.00%,0.0000%,0.00%,9.40%,0.40%,0.00%,0.00%,0.0,0.0,0.0,0.0,5.6,10.0,2.0,7.9,0.0,0.0,1.0,0.1,0.1,8.9,4.8,7.4,0.0,0.1,0.0,4.5,7.8,0.0,0.5,0.8,0.7,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,7.2,77.89%,8.7,8.0,7.3,94.73%,9.5,8.6,7.2,86.92%,8.7,8.0,7.1,0.5,0.0,x,0.3,9.3,0.0,4.1,3.7,4.3,3.0,5.4,0.0,3.8,0.1,0.2,0.01%,9.1,2.0,5.6,3.2,3.8,3.0,0.1,0.0,0.1,,
Mexico,MEX,10.0,9.4,9.7,8.7,6.5,9.8,9.3,9.6,7.8,9.7,0.15%,0.03%,0.6583%,0.00%,0.76%,0.04%,0.04%,0.06%,7.3,1.4,5.0,6.8,4.3,0.8,0.2,0.5,4.0,0.2,4.8,8.7,5.4,5.3,4.8,5.1,7.2,8.2,7.9,5.5,7.1,6.3,6.0,0.0,3.0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7.8,2.1%,0.2,5.1,9.3,26.71%,3.0,7.3,9.8,52.20%,5.2,8.3,9.6,39.76%,4.0,7.8,7.3,0.8,0.0,0.6,0.5,6.0,2.2,8.2,4.4,5.2,3.6,2.0,1.9,4.1,0.0,0.4,0.01%,9.2,2.0,5.6,3.4,5.1,6.4,10.0,10.0,10.0,,
Micronesia,FSM,0.1,0.1,0.1,0.0,2.8,3.1,4.0,3.6,1.2,7.1,0.00%,0.00%,0.0000%,0.00%,1.02%,0.03%,0.06%,5.94%,0.0,0.0,0.0,0.0,7.9,1.1,0.2,0.7,4.6,10.0,2.9,0.1,0.1,2.1,2.1,2.1,9.0,0.1,0.0,5.9,2.3,3.1,6.0,x,6.0,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,3.3,1.73%,0.2,1.9,4.1,6.72%,0.7,2.6,5.2,36.57%,3.7,4.5,2.4,1.1,1.6,x,1.4,7.4,3.2,2.3,x,4.3,3.3,x,3.8,4.2,3.2,2.0,0.01%,9.3,6.0,7.7,4.6,2.7,3.2,0.0,0.0,0.0,,
Moldova Republic of,MDA,6.0,0.1,3.6,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.20%,0.00%,0.2351%,0.00%,0.00%,0.00%,0.00%,0.19%,10.0,0.0,7.6,5.1,0.0,0.0,0.0,0.0,0.0,0.6,2.9,8.0,0.1,0.0,0.0,0.0,4.5,6.0,4.6,0.0,0.0,0.0,3.7,6.7,5.2,7.8,81.96%,9.1,8.5,x,x,x,x,x,x,x,x,x,x,x,x,8.5,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,1.7,1.3,x,1.5,6.5,0.0,4.3,2.2,3.3,2.7,x,0.4,2.7,0.0,1.0,0.05%,4.6,2.0,3.3,2.3,4.3,3.3,0.1,0.0,0.1,,
Mongolia,MNG,4.2,1.4,2.9,5.5,0.0,0.0,0.0,0.0,0.0,7.8,0.05%,0.00%,1.0476%,0.00%,0.00%,0.00%,0.00%,0.37%,2.3,0.0,1.2,7.6,0.0,0.0,0.0,0.0,0.0,1.2,1.0,3.3,0.7,0.0,0.0,0.0,5.4,2.1,6.7,0.0,0.0,0.0,3.2,9.2,6.2,1.4,0.00%,0.0,0.7,x,x,x,x,x,x,x,x,x,x,x,x,0.7,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,3.3,2.7,1.4,2.5,1.1,3.3,6.9,4.1,3.9,3.4,2.0,3.2,3.4,1.7,2.3,0.08%,2.0,2.0,2.0,2.6,1.8,2.9,0.1,0.0,0.1,,
Montenegro,MNE,4.0,0.1,2.3,0.5,4.1,0.0,0.0,0.0,2.2,0.0,0.21%,0.00%,0.0394%,0.00%,0.00%,0.00%,0.03%,0.00%,10.0,0.0,7.6,2.1,7.5,0.0,0.0,0.0,3.7,0.0,0.0,7.0,0.1,0.0,0.0,0.0,0.0,5.5,1.3,6.1,0.0,3.0,0.0,4.2,2.1,2.2,0.06%,0.0,1.2,x,x,x,x,x,x,x,x,x,x,x,x,1.2,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,6.2,32.35%,3.2,4.9,6.3,40.98%,4.1,5.3,2.9,0.2,0.2,0.1,0.2,5.5,0.7,6.9,3.2,4.1,2.8,1.0,0.5,3.0,0.0,0.1,0.04%,5.7,4.0,4.9,2.7,2.4,3.2,0.1,0.0,0.1,,
Morocco,MAR,8.3,0.1,5.5,5.8,5.0,0.0,0.0,0.0,6.2,7.2,0.11%,0.00%,0.1331%,0.00%,0.00%,0.00%,0.02%,0.02%,5.4,0.0,3.1,4.1,3.9,0.0,0.0,0.0,3.5,0.1,1.0,6.9,0.1,0.0,0.0,0.0,4.5,4.4,5.0,4.5,0.0,5.0,2.8,10.0,6.4,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0%,0.0,0.0,7.3,3.27%,0.4,4.7,9.1,58.76%,5.9,7.9,7.3,3.11%,0.3,4.7,4.9,1.4,2.2,x,1.8,6.4,3.6,6.5,6.4,5.7,4.4,1.2,2.2,4.4,0.0,1.2,0.00%,9.7,2.0,5.9,3.8,3.5,4.3,2.8,2.0,2.4,,
Mozambique,MOZ,7.5,0.1,4.8,6.6,4.3,7.3,0.0,4.6,6.7,10.0,0.06%,0.00%,0.3006%,0.00%,0.23%,0.00%,0.05%,1.38%,3.1,0.0,1.7,5.5,3.3,0.3,0.0,0.2,4.3,4.6,10.0,5.3,0.1,3.8,0.0,2.1,8.4,3.4,6.1,3.8,2.7,5.6,9.2,3.3,6.3,8.3,18.05%,2.0,6.1,6.9,0.41%,0.8,4.5,0.0,0.00%,0.0,0.0,7.7,1.12%,6.1,7.0,4.9,9.3,100.0%,10.0,9.7,8.8,43.26%,4.8,7.3,9.3,96.32%,9.6,9.5,9.2,81.20%,8.1,8.7,9.0,7.0,6.1,x,6.6,5.4,8.5,3.9,6.3,6.0,6.2,6.1,7.8,6.3,6.5,6.5,0.02%,8.0,2.0,5.0,5.9,6.8,5.1,9.6,7.0,8.6,,
Myanmar,MMR,9.4,8.4,9.0,8.9,8.8,8.3,8.7,8.5,9.0,0.0,0.19%,0.02%,2.0425%,0.00%,0.38%,0.04%,0.29%,0.00%,9.4,1.2,7.0,8.7,7.8,0.4,0.2,0.3,6.6,0.0,0.0,9.4,4.8,4.4,4.5,4.5,0.0,8.2,8.8,8.3,5.8,8.0,0.0,1.7,0.9,8.9,31.09%,3.5,7.0,x,x,x,x,x,x,x,x,x,x,x,x,7.0,9.5,87.1%,8.7,9.1,9.2,50.58%,5.6,7.9,9.6,94.79%,9.5,9.6,9.6,94.37%,9.4,9.5,9.1,2.9,2.9,2.5,2.8,6.4,3.6,3.2,5.5,4.7,4.1,6.5,2.0,4.5,2.3,2.7,0.03%,6.6,4.0,5.3,4.2,6.6,7.2,10.0,10.0,10.0,,
Namibia,NAM,0.1,0.1,0.1,4.2,0.0,0.0,0.0,0.0,1.4,9.7,0.00%,0.00%,0.3622%,0.00%,0.00%,0.00%,0.00%,2.91%,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.9,9.7,7.6,0.1,0.1,0.0,0.0,0.0,9.7,0.1,5.1,0.0,0.0,1.2,8.7,10.0,9.4,7.3,46.92%,5.2,6.4,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,2.1,7.6,79.4%,7.9,7.8,4.0,0.22%,0.0,2.2,7.6,80.51%,8.1,7.9,6.6,16.12%,1.6,4.6,6.1,7.1,2.3,5.5,5.0,1.6,6.3,5.5,5.6,4.8,4.9,4.6,5.6,4.9,10.0,6.2,0.01%,9.1,4.0,6.6,5.9,4.9,4.1,0.1,0.0,0.1,,
Nauru,NRU,0.1,0.1,0.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0000%,0.00%,0.00%,0.00%,0.00%,0.00%,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,6.0,0.0,0.0,0.0,x,0.0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0%,0.0,0.0,3.8,37.22%,4.1,4.0,4.2,72.00%,7.2,5.9,0.0,0.00%,0.0,0.0,2.9,3.8,0.0,x,1.9,9.3,1.8,10.0,x,7.0,5.3,0.1,4.9,5.2,0.9,1.6,x,x,x,x,3.4,3.9,1.8,0.0,0.0,0.0,,
Nepal,NPL,8.9,10.0,9.5,7.1,0.0,0.0,0.0,0.0,0.0,7.9,0.21%,0.21%,0.5852%,0.00%,0.00%,0.00%,0.00%,0.05%,10.0,10.0,10.0,6.6,0.0,0.0,0.0,0.0,0.0,0.2,1.9,9.5,10.0,0.0,0.0,0.0,5.2,9.8,6.9,0.0,0.0,0.0,3.6,2.5,3.1,8.9,55.33%,6.1,7.8,x,x,x,x,x,x,x,x,x,x,x,x,7.8,8.5,29.0%,2.9,6.5,8.6,32.60%,3.6,6.8,9.1,71.29%,7.1,8.3,9.2,90.38%,9.0,9.1,7.9,2.2,1.5,3.6,2.4,7.7,6.4,2.2,5.6,5.5,4.5,4.5,2.9,4.9,2.3,2.4,0.04%,5.7,6.0,5.9,4.4,6.5,5.1,0.3,0.0,0.2,,
Netherlands,NLD,5.2,0.1,3.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,0.02%,0.00%,2.5895%,0.00%,0.00%,0.00%,7.75%,0.00%,1.0,0.0,0.5,9.1,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.1,0.1,0.0,0.0,0.0,0.0,1.8,8.6,0.0,0.0,10.0,0.0,0.8,0.4,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.3,0.0,x,0.2,9.1,2.6,9.3,0.6,5.4,3.7,x,0.0,4.3,0.0,0.1,0.01%,9.2,2.0,5.6,3.3,1.9,5.0,0.1,0.0,0.1,,
New Zealand,NZL,6.3,6.3,6.3,3.6,4.8,5.4,0.0,3.1,4.7,0.0,0.16%,0.04%,0.1023%,0.00%,0.23%,0.00%,0.04%,0.00%,7.9,2.1,5.7,3.7,5.9,0.3,0.0,0.2,4.1,0.0,1.9,7.1,4.2,2.9,0.0,1.6,0.0,6.0,3.7,5.4,1.8,4.4,1.0,2.5,1.8,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,5.8,2.24%,0.2,3.5,1.0,0.0,0.0,x,0.0,4.3,4.3,8.7,1.5,4.7,3.1,0.0,0.5,3.2,0.0,0.0,0.01%,9.0,2.0,5.5,2.9,2.4,3.8,0.0,0.0,0.0,,
Nicaragua,NIC,7.0,7.9,7.5,4.8,6.7,6.5,6.6,6.6,4.8,8.9,0.21%,0.13%,0.2428%,0.00%,0.51%,0.02%,0.03%,0.53%,10.0,6.3,8.8,5.1,7.7,0.6,0.1,0.4,3.8,1.8,5.7,8.5,7.1,3.6,3.4,3.5,6.6,8.2,5.0,7.2,4.2,4.3,6.2,1.7,4.0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8.3,88.0%,8.8,8.6,8.3,84.62%,9.4,8.9,8.2,76.09%,7.6,7.9,8.3,92.24%,9.2,8.8,8.6,3.0,3.0,x,3.0,5.9,3.8,6.0,7.3,5.8,4.9,0.6,3.0,4.4,2.3,2.8,0.00%,9.7,2.0,5.9,4.4,6.4,5.9,0.3,0.0,0.2,,
Niger,NER,0.1,0.1,0.1,6.9,0.0,0.0,0.0,0.0,0.0,10.0,0.00%,0.00%,0.5013%,0.00%,0.00%,0.00%,0.00%,3.13%,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,10.0,9.5,0.1,0.1,0.0,0.0,0.0,10.0,0.1,6.6,0.0,0.0,0.0,9.8,4.2,7.0,9.0,70.77%,7.9,8.5,0.0,0.00%,0.0,0.0,7.0,0.59%,0.6,4.5,0.0,0.00%,0.0,0.0,4.3,9.2,100.0%,10.0,9.7,7.5,6.18%,0.7,5.0,9.2,99.09%,9.9,9.6,9.1,81.94%,8.2,8.7,8.7,9.3,8.5,7.5,8.4,4.3,9.3,1.7,9.8,6.3,7.0,7.8,8.5,6.9,10.0,8.8,x,x,8.0,8.0,7.9,7.3,3.8,9.8,7.8,9.0,,
Nigeria,NGA,0.1,0.1,0.1,9.2,0.0,0.0,0.0,0.0,8.2,10.0,0.00%,0.00%,0.6689%,0.00%,0.00%,0.00%,0.03%,0.24%,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,3.8,0.8,1.0,0.1,0.1,0.0,0.0,0.0,7.7,0.1,8.2,0.0,0.0,6.5,4.4,1.7,3.1,10.0,41.00%,4.6,8.4,9.6,2.52%,5.0,8.1,10.0,31.67%,10.0,10.0,9.4,1.89%,6.6,8.3,8.9,10.0,100.0%,10.0,10.0,10.0,60.07%,6.7,8.9,10.0,96.69%,9.7,9.9,10.0,99.58%,10.0,10.0,9.8,5.9,3.4,6.9,5.4,7.9,7.6,5.4,6.6,6.9,6.4,5.4,6.4,6.6,6.1,5.6,0.00%,10.0,6.0,8.0,6.7,8.3,4.8,10.0,10.0,10.0,,
North Macedonia,MKD,5.5,4.4,5.0,3.4,0.0,0.0,0.0,0.0,0.0,3.6,0.21%,0.02%,0.2069%,0.00%,0.00%,0.00%,0.00%,0.01%,10.0,0.9,7.7,4.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.8,2.7,0.0,0.0,0.0,2.0,6.5,4.2,0.0,0.0,0.0,1.5,5.8,3.7,7.5,88.67%,9.9,9.0,x,x,x,x,x,x,x,x,x,x,x,x,9.0,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.1,0.4,0.0,0.2,6.2,0.0,5.9,3.6,3.9,2.7,0.0,0.0,2.6,0.0,0.1,0.02%,7.6,4.0,5.8,2.8,4.7,3.1,0.1,0.0,0.1,,
Norway,NOR,1.2,0.1,0.7,5.3,0.0,0.0,0.0,0.0,6.7,0.0,0.00%,0.00%,0.5346%,0.00%,0.00%,0.00%,0.28%,0.00%,0.1,0.0,0.1,6.5,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.4,5.9,0.0,0.0,6.6,0.0,4.2,2.1,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.2,0.0,x,0.1,3.9,3.1,8.4,0.6,4.0,2.7,0.0,0.0,2.7,0.0,0.1,0.04%,5.8,0.0,2.9,1.9,1.2,2.8,0.0,0.0,0.0,,
Oman,OMN,0.1,0.1,0.1,2.3,8.1,5.8,6.3,6.1,5.7,0.0,0.00%,0.00%,0.0309%,0.01%,0.37%,0.02%,0.13%,0.00%,0.0,0.0,0.0,1.7,9.7,0.4,0.1,0.3,5.5,0.0,0.0,0.1,0.1,3.1,3.2,3.2,0.0,0.1,2.0,9.0,3.8,5.6,0.0,6.7,3.4,7.6,47.75%,5.3,6.6,x,x,x,x,x,x,x,x,x,x,x,x,6.6,0.0,0.0%,0.0,0.0,6.7,10.16%,1.1,4.5,8.0,80.34%,8.0,8.0,7.9,73.19%,7.3,7.6,5.8,0.1,1.3,0.3,0.6,3.9,4.4,8.8,x,5.7,4.0,0.0,2.1,3.8,0.0,0.4,0.01%,8.9,2.0,5.5,3.2,5.1,4.8,0.1,0.0,0.1,,
Pakistan,PAK,10.0,10.0,10.0,10.0,7.3,9.8,9.3,9.6,6.4,10.0,0.21%,0.03%,2.3346%,0.00%,0.40%,0.03%,0.01%,0.08%,10.0,1.7,7.9,8.9,4.5,0.4,0.1,0.3,1.5,0.3,1.9,10.0,5.9,5.1,4.7,4.9,7.6,9.2,9.5,6.1,7.1,4.4,4.8,5.0,4.9,10.0,77.70%,8.6,9.4,x,x,x,x,x,x,x,x,x,x,x,x,9.4,10.0,98.3%,9.8,9.9,9.7,24.68%,2.7,7.7,10.0,80.61%,8.1,9.3,10.0,86.15%,8.6,9.4,9.2,3.3,1.6,1.5,2.1,8.3,5.5,3.8,10.0,6.9,5.3,6.2,5.2,6.5,2.3,2.2,0.01%,8.8,6.0,7.4,5.4,7.9,7.5,10.0,8.7,9.5,,
Palau,PLW,0.1,0.1,0.1,0.0,0.1,1.0,0.0,0.5,1.0,4.0,0.00%,0.00%,0.0000%,0.00%,0.81%,0.00%,0.31%,2.25%,0.0,0.0,0.0,0.0,7.0,0.9,0.0,0.5,6.7,7.5,1.0,0.1,0.1,1.0,0.0,0.5,6.0,0.1,0.0,4.4,0.5,4.4,3.5,x,3.5,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,4.3,59.46%,5.9,5.2,3.8,26.73%,2.7,3.3,2.4,0.1,0.1,x,0.1,5.3,1.1,8.2,x,4.9,3.3,0.1,0.3,3.0,0.0,0.1,0.06%,4.4,4.0,4.2,2.4,2.1,2.3,0.0,0.0,0.0,,
Palestine,PSE,6.1,3.9,5.1,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.14%,0.00%,0.0004%,0.00%,0.00%,0.00%,0.00%,0.00%,6.8,0.2,4.3,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,6.5,2.1,0.0,0.0,0.0,0.0,4.7,0.0,0.9,0.0,0.0,0.0,x,0.0,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,5.4,1.17%,0.1,3.2,8.2,95.63%,9.6,9.0,7.3,25.07%,2.5,5.4,5.4,0.1,0.3,0.5,0.3,9.7,5.5,7.8,7.6,7.7,5.2,2.2,5.4,6.4,0.0,0.2,0.01%,9.3,x,9.3,5.3,4.3,1.6,10.0,10.0,10.0,,
Panama,PAN,6.4,7.2,6.8,0.4,7.6,0.0,0.0,0.0,5.9,0.0,0.21%,0.10%,0.0047%,0.01%,0.00%,0.00%,0.16%,0.00%,10.0,5.2,8.5,0.0,9.2,0.0,0.0,0.0,5.8,0.0,2.9,8.2,6.2,0.0,0.0,0.0,0.0,7.8,0.2,8.5,0.0,5.9,1.5,0.8,1.2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7.8,67.0%,6.7,7.3,7.9,80.08%,8.9,8.4,7.9,74.74%,7.5,7.7,8.1,96.35%,9.6,9.0,8.2,1.6,0.9,x,1.3,5.9,3.8,7.0,4.1,5.2,3.9,1.8,1.9,4.1,1.3,1.3,0.02%,8.3,2.0,5.2,3.5,5.7,5.1,0.2,0.0,0.1,,
Papua New Guinea,PNG,7.5,8.8,8.2,4.7,6.8,5.0,4.8,4.9,6.7,9.8,0.20%,0.20%,0.1574%,0.00%,0.08%,0.00%,0.16%,0.82%,10.0,9.8,9.9,4.4,7.4,0.1,0.0,0.1,5.8,2.7,1.9,8.8,9.3,2.6,2.4,2.5,7.8,9.2,4.6,7.1,2.8,6.3,4.9,0.0,2.5,8.0,39.96%,4.4,6.5,x,x,x,x,x,x,x,x,x,x,x,x,6.5,8.6,100.0%,10.0,9.4,7.9,32.17%,3.6,6.2,7.7,22.64%,2.3,5.6,8.5,81.26%,8.1,8.3,7.7,9.0,8.3,7.0,8.1,4.5,5.7,1.4,x,3.9,5.3,2.5,4.4,3.7,5.4,7.4,0.00%,9.9,x,9.9,7.0,6.7,6.1,1.7,0.0,0.9,,
Paraguay,PRY,0.0,0.1,0.1,5.2,0.0,0.0,0.0,0.0,0.0,9.3,0.00%,0.00%,0.3837%,0.00%,0.00%,0.00%,0.00%,0.73%,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,2.4,6.7,0.0,0.1,0.0,0.0,0.0,7.1,0.1,5.6,0.0,0.0,0.0,6.9,0.8,3.9,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0%,0.0,0.0,8.2,78.11%,8.7,8.5,8.3,99.26%,9.9,9.3,8.3,86.40%,8.6,8.5,7.7,0.6,0.1,2.0,0.9,4.1,3.4,6.3,4.7,4.6,3.4,1.7,3.2,3.9,0.1,0.7,0.02%,8.2,2.0,5.1,3.2,5.2,2.5,0.2,0.0,0.1,,
Peru,PER,9.0,10.0,9.6,6.9,9.3,0.0,0.0,0.0,4.6,9.9,0.20%,0.18%,0.4422%,0.00%,0.00%,0.00%,0.01%,0.27%,10.0,8.9,9.5,6.1,8.8,0.0,0.0,0.0,1.7,0.9,4.8,9.5,9.5,0.0,0.0,0.0,7.6,9.6,6.5,9.1,0.0,3.3,6.2,2.5,4.4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8.8,39.3%,3.9,7.0,8.3,19.49%,2.2,6.1,8.9,48.62%,4.9,7.4,9.0,60.05%,6.0,7.8,7.1,2.4,0.9,x,1.7,4.7,2.3,7.9,3.7,4.7,3.7,5.0,1.9,4.3,1.0,1.4,0.00%,9.8,2.0,5.9,3.9,5.1,6.4,3.8,3.1,3.5,,
