COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Probability,Current Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years)
Germany,DEU,2.4,Low,144,3.5,2.3,4,3.7,7.8,0,0,8,1.3,1.6,0.1,0.1,0,3.9,0.4,0,1.3,0.1,6.2,8.9,0.1,0.2,0,0.4,0.2,1.6,2.5,2.7,2.3,0.6,1.5,0,0.4,8,16%,,0.26
Ghana,GHA,4,Medium,71,1.1,3.3,3.3,0.1,4.7,1.7,0,4.3,1.3,7.6,3.3,3.2,3.4,4.1,5.3,6.9,5.7,1.5,2.7,3.3,3.4,3,0.1,1.2,2,4.7,4.4,3.4,5.4,5,3.2,6.1,5.7,0,0%,,0.21
Greece,GRC,2.7,Low,126,3.9,2.8,4.9,8.1,3.8,7.2,0,5,1.9,4.8,0.1,0.1,0,2.9,0.5,0.1,1.8,0.1,4.8,7.4,0.2,0.3,0.3,1.1,0.5,2.3,3.5,2.3,4.6,0.8,2.1,0,0.4,10,20%,,0.24
Grenada,GRD,2.5,Low,136,7.3,1.4,2.6,3.4,0,0,6,2.5,0.5,3.9,0,0,0,2.9,2.3,2.1,4.7,0.4,3.5,0,0.1,1.2,10,5.1,5.9,3.9,4.8,4.7,4.8,2.8,3,0.6,4.7,20,39%,,0.62
Guatemala,GTM,4.9,Medium,42,3.1,3.6,5.9,9.5,4.2,6.8,3.7,3.7,3.5,5.7,0.3,0.6,0,6.2,5.6,6.8,6.1,2.7,6.8,7.7,0.3,2.5,10,2.9,5.7,5.4,6.4,5.5,7.3,4.1,3.1,4.2,4.9,4,8%,,0.39
Guinea,GIN,4.2,Medium,61,1.3,2.3,3.7,0.1,5.5,2.7,0,4.9,0.7,7.9,0.7,1.4,0,4.6,6.1,9.1,4.7,1.4,2.6,1.6,5.1,5.4,0.2,2.2,3.5,6.9,6.1,5,7.2,7.5,6.4,7.3,8.7,2,4%,,0.15
Guinea-Bissau,GNB,3.7,Medium,79,0.7,1.3,2.4,0.1,2.8,0,0,2.1,1.9,7.2,0.1,0.1,0,5.2,6.8,8.9,5.3,3.9,3.1,0,5.8,4.6,0,8.2,5.3,7.7,7.9,7.8,7.9,7.5,6.1,8.2,8.3,0,0%,,0.13
Guyana,GUY,3.5,Medium,89,2.3,2.4,4.2,0.1,6.9,2.5,0,7,3.7,5.3,0.1,0.1,0,3.9,3.8,3.1,5.5,3.5,3.9,5.9,2,2.1,0,0.6,1.2,4.7,5.8,x,5.8,3.3,2.3,3.9,3.6,6,12%,,0.13
Haiti,HTI,7.2,Very High,11,4.8,7.7,6.5,8.4,4.6,4.1,8.9,4.5,3.7,7.6,8.6,9.3,7.5,6.7,6.7,7.8,6.2,4.8,6.6,7.7,2.6,3.2,0.1,9.4,5.1,7.2,7.8,6.7,8.9,6.4,6.3,5,7.9,4,8%,YES,0.52
Honduras,HND,5.6,High,28,2.8,6,5.8,8.1,5.4,6.4,4.6,4,4.9,6,6.1,6.2,5.9,5.5,5.5,5.9,5.7,4.5,5.5,7.6,0.8,1.4,0.8,4.9,2.2,5.3,6.2,5.2,7.2,4.3,3.7,3.7,5.5,5,10%,,0.27
Hungary,HUN,2,Very Low,164,4,1.6,2.9,1.8,7.3,0,0,0,3,4.9,0.1,0.1,0,2.3,1.1,1,2.1,0.4,3.4,5.5,0.1,0.3,0,1.2,0.4,2.1,3.2,1.4,4.9,0.8,1.5,0.1,0.8,11,22%,,0.2
Iceland,ISL,1.7,Very Low,177,3.8,1.4,2.6,5.4,0,0,0,6.5,0,2.8,0,0,0,1.8,0.1,0,0.4,0.1,3.3,5.5,0.1,0.2,0.5,0.4,0.3,2,2.4,x,2.4,1.5,1.3,2.6,0.7,13,25%,,0.05
