,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HFA Scores,DRR,Corruption Perception Index,Government Effectiveness,Governance,INFORM Institutional,Adult literacy rate,Access to electricity,Internet users,Mobile cellular subscriptions,Communication,Road density,Road density,Sanitation,Drinking water,Physical Connectivity,Physicians Density,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%),Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%),Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%),Immunization coverage,per capita public and private expenditure on health care,Maternal Mortality ratio,Access to health care Index,INFORM Infrastructure,
Guatemala,GTM,5.5,5.5,7.7,6.8,7.3,6.4,3.2,0.1,4.9,4.3,3.1,19.6,8.1,3.4,1.1,4.2,6.8,3.4,5.1,2.5,3.7,7.9,1.1,4.9,4.1,
Guinea,GIN,5.0,5.0,7.4,6.9,7.2,6.1,8.7,5.2,6.5,5.0,6.4,13.8,8.7,7.6,5.7,7.3,9.4,8.8,10.0,x,9.4,9.8,6.1,8.7,7.5,
Guinea-Bissau,GNB,7.8,7.8,7.8,8.0,7.9,7.9,7.8,6.3,6.5,3.8,6.1,12.1,8.9,8.0,7.6,8.2,9.4,4.2,10.0,4.2,6.1,9.6,8.1,8.3,7.5,
Guyana,GUY,x,x,6.0,5.5,5.8,5.8,2.1,0.7,1.5,4.8,2.3,2.1,9.9,1.0,0.8,3.9,6.5,0.2,0.3,0.7,0.4,6.3,1.2,3.6,3.3,
Haiti,HTI,6.7,6.7,8.3,9.5,8.9,7.8,6.8,5.1,6.1,7.0,6.3,83.5,1.7,6.9,6.5,5.0,9.4,8.1,9.8,8.1,8.7,9.8,3.9,7.9,6.4,
Honduras,HND,5.2,5.2,7.7,6.7,7.2,6.2,2.4,0.6,5.2,6.4,3.7,13.4,8.7,1.7,0.8,3.7,8.8,3.6,4.9,3.6,4.0,8.3,0.8,5.5,4.3,
Hungary,HUN,1.4,1.4,5.8,3.9,4.9,3.2,0.2,0.0,1.0,4.9,1.5,176.7,0.0,0.2,0.0,0.1,1.8,0.0,0.0,0.0,0.0,1.0,0.2,0.8,0.8,
Iceland,ISL,x,x,2.8,1.9,2.4,2.4,x,0.0,0.0,4.0,1.3,23.9,7.7,0.1,0.0,2.6,0.3,1.2,3.2,2.5,2.3,0.0,0.0,0.7,1.5,
India,IND,1.8,1.8,6.1,4.3,5.2,3.5,4.6,0.1,5.4,6.1,4.1,24.6,7.6,2.4,1.3,3.8,8.2,1.0,1.5,5.6,2.7,9.4,1.1,5.4,4.4,
Indonesia,IDN,3.3,3.3,6.6,4.1,5.4,4.4,0.9,0.0,3.4,4.4,2.2,9.9,9.1,1.3,1.2,3.9,8.3,2.4,5.4,10.0,5.9,8.5,1.9,6.2,4.1,
Iran,IRN,4.4,4.4,7.6,6.8,7.2,5.8,2.3,0.0,2.1,1.8,1.6,9.8,9.1,1.1,0.5,3.6,6.2,0.0,0.2,x,0.1,6.9,0.2,3.4,2.9,
Iraq,IRQ,8.4,8.4,7.7,7.6,7.7,8.1,2.9,0.0,2.1,5.2,2.6,11.1,9.0,0.2,0.3,3.2,7.7,1.0,0.3,10.0,3.8,8.4,0.8,5.2,3.7,
Ireland,IRL,x,x,2.3,1.9,2.1,2.1,x,0.0,0.5,4.4,1.6,159.7,0.0,1.2,0.8,0.7,0.0,1.0,x,2.5,1.8,0.0,0.1,0.5,0.9,
Israel,ISR,x,x,3.8,2.5,3.2,3.2,x,0.0,1.0,2.5,1.2,212.6,0.0,0.0,0.0,0.0,0.9,0.2,1.0,0.7,0.6,0.0,0.0,0.4,0.5,
Italy,ITA,2.4,2.4,4.4,4.1,4.3,3.4,0.1,0.0,1.5,3.4,1.3,241.4,0.0,0.0,0.0,0.0,0.0,0.7,2.4,1.2,1.4,0.0,0.1,0.4,0.6,
Jamaica,JAM,3.3,3.3,5.6,3.8,4.7,4.0,x,0.0,1.8,4.8,2.2,76.6,2.4,1.5,1.8,1.9,8.6,0.2,2.7,x,1.5,7.6,1.1,4.7,2.9,
Japan,JPN,1.9,1.9,2.7,1.8,2.3,2.1,x,0.0,1.7,1.7,1.1,384.1,0.0,0.0,0.2,0.1,3.5,0.0,0.7,0.5,0.4,0.0,0.0,1.0,0.7,
Jordan,JOR,6.1,6.1,5.4,4.6,5.0,5.6,0.3,0.0,1.4,6.8,2.1,32.7,6.8,0.3,0.2,2.4,3.7,3.7,1.5,x,2.6,7.7,0.5,3.6,2.7,
Kazakhstan,KAZ,3.8,3.8,6.1,4.7,5.4,4.6,0.0,0.0,0.8,3.6,1.1,5.9,9.5,0.2,0.9,3.5,0.0,0.0,0.3,0.2,0.2,6.4,0.1,1.7,2.1,
Kenya,KEN,3.9,3.9,6.9,5.6,6.3,5.1,3.4,2.4,7.1,4.0,4.2,10.5,9.0,7.1,7.4,7.8,9.4,1.5,7.3,1.4,3.4,9.4,5.9,7.0,6.3,
Kiribati,KIR,x,x,x,4.7,4.7,4.7,x,0.6,4.6,7.8,4.3,92.6,0.7,6.1,4.9,3.9,9.5,1.4,5.3,1.4,2.7,9.0,0.8,5.5,4.6,
